price,bedrooms,bathrooms,land,floor,district,city
5900000000.0,5,3,228,270,Senen,Jakarta Pusat
700000000.0,3,2,90,59,Pasar Rebo,Jakarta Timur
700000000.0,3,2,90,60,Ciracas,Jakarta Timur
3600000000.0,5,4,187,178,Kebon Jeruk,Jakarta Barat
672000000.0,3,2,60,60,Jagakarsa,Jakarta Selatan
3300000000.0,5,3,196,161,Setia Budi,Jakarta Selatan
1250000000.0,2,2,24,72,Johar Baru,Jakarta Pusat
5800000000.0,3,3,261,199,Cempaka Putih,Jakarta Pusat
3330000000.0,3,1,443,130,Jagakarsa,Jakarta Selatan
4400000000.0,3,3,120,170,Penjaringan,Jakarta Utara
4200000000.0,4,3,162,220,Kembangan,Jakarta Barat
5680000000.0,4,4,338,338,Grogol Petamburan,Jakarta Barat
2950000000.0,3,2,136,200,Kali Deres,Jakarta Barat
2550000000.0,4,5,113,190,Jagakarsa,Jakarta Selatan
1650000000.0,2,2,96,100,Kali Deres,Jakarta Barat
5110000000.0,4,4,120,144,Kebayoran Baru,Jakarta Selatan
5500000000.0,4,4,192,235,Pulo Gadung,Jakarta Timur
4700000000.0,4,2,144,148,Kembangan,Jakarta Barat
11000000000.0,6,4,366,837,Penjaringan,Jakarta Utara
5000000000.0,3,3,239,275,Kebon Jeruk,Jakarta Barat
3000000000.0,7,3,192,209,Grogol Petamburan,Jakarta Barat
7900000000.0,5,2,350,550,Duren Sawit,Jakarta Timur
2910000000.0,4,4,145,260,Ciracas,Jakarta Timur
10500000000.0,4,4,200,246,Cakung,Jakarta Timur
2690000000.0,3,3,90,126,Kebon Jeruk,Jakarta Barat
5300000000.0,5,4,356,333,Duren Sawit,Jakarta Timur
1550000000.0,3,3,70,120,Jagakarsa,Jakarta Selatan
8800000000.0,8,7,325,500,Tebet,Jakarta Selatan
3200000.0,4,3,126,300,Pasar Minggu,Jakarta Selatan
2500000000.0,2,2,75,90,Kelapa Gading,Jakarta Utara
2000000000.0,3,3,162,122,Cilincing,Jakarta Utara
5500000000.0,2,2,120,180,Kelapa Gading,Jakarta Utara
5200000000.0,3,3,100,142,Kelapa Gading,Jakarta Utara
5900000000.0,3,3,100,142,Kelapa Gading,Jakarta Utara
4600000000.0,3,2,144,236,Kelapa Gading,Jakarta Utara
3000000000.0,4,4,135,180,Kelapa Gading,Jakarta Utara
2850000000.0,5,4,150,230,Kelapa Gading,Jakarta Utara
2700000000.0,4,3,119,1,Kelapa Gading,Jakarta Utara
2400000000.0,3,2,127,1,Kelapa Gading,Jakarta Utara
3100000000.0,3,1,204,200,Kelapa Gading,Jakarta Utara
3800000000.0,5,2,200,160,Kali Deres,Jakarta Barat
11000000000.0,4,2,400,225,Kelapa Gading,Jakarta Utara
4500000000.0,3,2,160,1,Pulo Gadung,Jakarta Timur
3970000000.0,3,3,116,132,Kebayoran Baru,Jakarta Selatan
3930000000.0,3,3,116,132,Kebayoran Baru,Jakarta Selatan
4000000000.0,3,3,116,132,Kebayoran Baru,Jakarta Selatan
3950000000.0,3,3,116,132,Kebayoran Baru,Jakarta Selatan
3900000000.0,3,3,116,132,Kebayoran Baru,Jakarta Selatan
4300000000.0,10,10,205,350,Pulo Gadung,Jakarta Timur
1640000000.0,3,2,60,95,Kelapa Gading,Jakarta Utara
2600000000.0,3,3,112,225,Kelapa Gading,Jakarta Utara
2600000000.0,4,2,300,198,Cilandak,Jakarta Selatan
5500000000.0,4,3,253,200,Cilandak,Jakarta Selatan
8000000000.0,7,3,300,350,Mampang Prapatan,Jakarta Selatan
800000000.0,2,1,19,37,Jatinegara,Jakarta Timur
5000000000.0,8,4,378,400,Pesanggrahan,Jakarta Selatan
3350000000.0,3,3,70,170,Pesanggrahan,Jakarta Selatan
9000000000.0,9,7,378,600,Cempaka Putih,Jakarta Pusat
9000000000.0,9,7,378,600,Cempaka Putih,Jakarta Pusat
750000000.0,3,2,50,100,Duren Sawit,Jakarta Timur
950000000.0,3,2,100,96,Cipayung,Jakarta Timur
3850000000.0,3,3,124,250,Pasar Minggu,Jakarta Selatan
2000000000.0,0,0,150,80,Kali Deres,Jakarta Barat
3500000000.0,4,3,167,160,Duren Sawit,Jakarta Timur
3250000000.0,3,3,60,150,Kebayoran Baru,Jakarta Selatan
7000000000.0,4,5,144,348,Tanah Abang,Jakarta Pusat
3290000000.0,4,3,250,160,Ciracas,Jakarta Timur
1900000000.0,3,2,72,96,Kebon Jeruk,Jakarta Barat
10000000000.0,6,6,386,550,Pulo Gadung,Jakarta Timur
6200000000.0,10,5,319,276,Cempaka Putih,Jakarta Pusat
10500000000.0,4,3,278,378,Tebet,Jakarta Selatan
2500000000.0,4,2,355,162,Cipayung,Jakarta Timur
8199999999.999999,4,3,160,225,Kelapa Gading,Jakarta Utara
2750000000.0,3,3,67,67,Kelapa Gading,Jakarta Utara
3200000000.0,3,3,102,101,Kelapa Gading,Jakarta Utara
970000000.0,2,2,52,104,Tambora,Jakarta Barat
2200000000.0,3,2,90,170,Cengkareng,Jakarta Barat
6500000000.0,3,2,210,150,Pancoran,Jakarta Selatan
4500000000.0,10,8,157,549,Palmerah,Jakarta Barat
8800000000.0,3,3,230,270,Kembangan,Jakarta Barat
8800000000.0,3,3,230,270,Kembangan,Jakarta Barat
750000000.0,2,1,90,54,Cengkareng,Jakarta Barat
750000000.0,2,1,90,54,Cengkareng,Jakarta Barat
1600000000.0,3,3,108,150,Cengkareng,Jakarta Barat
1600000000.0,3,3,108,150,Cengkareng,Jakarta Barat
280000000.0,2,1,60,36,Jagakarsa,Jakarta Selatan
1300000000.0,7,6,136,135,Cilincing,Jakarta Utara
40000000.0,3,1,25,25,Kali Deres,Jakarta Barat
8000000000.0,4,4,157,180,Kebayoran Baru,Jakarta Selatan
650000000.0,2,1,126,200,Kali Deres,Jakarta Barat
1640000000.0,4,4,78,103,Cipayung,Jakarta Timur
85000000.0,3,2,43,124,Cempaka Putih,Jakarta Pusat
1900000000.0,3,3,209,190,Duren Sawit,Jakarta Timur
3300000000.0,0,0,115,100,Taman Sari,Jakarta Barat
2900000000.0,4,3,144,220,Pesanggrahan,Jakarta Selatan
1800000000.0,5,3,145,200,Kebon Jeruk,Jakarta Barat
2600000000.0,5,6,160,218,Kembangan,Jakarta Barat
700000000.0,2,1,90,54,Cengkareng,Jakarta Barat
2100000000.0,2,1,90,90,Kelapa Gading,Jakarta Utara
2400000000.0,3,2,84,120,Pademangan,Jakarta Utara
2400000000.0,3,2,84,120,Pademangan,Jakarta Utara
3800000000.0,3,3,96,220,Pulo Gadung,Jakarta Timur
3600000000.0,5,2,168,160,Cempaka Putih,Jakarta Pusat
4900000000.0,3,3,144,250,Cilandak,Jakarta Selatan
4000000000.0,5,4,200,300,Kelapa Gading,Jakarta Utara
5400000000.0,4,4,98,275,Tanjung Priok,Jakarta Utara
11000000000.0,5,4,360,500,Kebon Jeruk,Jakarta Barat
4500000000.0,4,3,159,185,Kembangan,Jakarta Barat
3800000000.0,6,5,145,400,Kebon Jeruk,Jakarta Barat
1150000000.0,4,2,359,288,Cengkareng,Jakarta Barat
6750000000.0,5,3,170,200,Kelapa Gading,Jakarta Utara
3200000000.0,4,2,105,105,Kelapa Gading,Jakarta Utara
1750000000.0,3,2,102,102,Kelapa Gading,Jakarta Utara
250000000.0,2,1,78,36,Koja,Jakarta Utara
4250000000.0,4,3,102,215,Kelapa Gading,Jakarta Utara
10500000000.0,3,3,469,283,Grogol Petamburan,Jakarta Barat
2500000000.0,3,2,120,120,Pasar Minggu,Jakarta Selatan
4420000000.0,4,4,105,194,Cakung,Jakarta Timur
2100000000.0,4,2,90,105,Kali Deres,Jakarta Barat
1870000000.0,3,3,70,118,Jagakarsa,Jakarta Selatan
1000000000.0,3,2,85,80,Ciracas,Jakarta Timur
1500000000.0,4,2,90,100,Cipayung,Jakarta Timur
2200000000.0,5,2,75,200,Penjaringan,Jakarta Utara
2750000000.0,3,2,97,160,Penjaringan,Jakarta Utara
7300000000.0,3,2,365,450,Kebayoran Lama,Jakarta Selatan
6500000000.0,5,4,440,700,Duren Sawit,Jakarta Timur
1870000000.0,3,3,70,118,Jagakarsa,Jakarta Selatan
650000000.0,1,1,84,40,Kramat Jati,Jakarta Timur
399000000.0,2,1,60,40,Kebayoran Lama,Jakarta Selatan
8800000000.0,5,5,180,417,Cilandak,Jakarta Selatan
1550000000.0,3,3,70,100,Jagakarsa,Jakarta Selatan
4200000000.0,0,0,270,120,Kebayoran Lama,Jakarta Selatan
1490000000.0,2,2,152,152,Cengkareng,Jakarta Barat
7500000000.0,5,4,240,260,Kebayoran Baru,Jakarta Selatan
7800000000.0,6,5,240,680,Kebon Jeruk,Jakarta Barat
7800000000.0,6,5,240,680,Kebon Jeruk,Jakarta Barat
5500000000.0,10,4,245,400,Duren Sawit,Jakarta Timur
1300000000.0,3,2,72,104,Cipayung,Jakarta Timur
2200000000.0,4,3,163,230,Cipayung,Jakarta Timur
1100000000.0,2,2,60,72,Cengkareng,Jakarta Barat
2500000000.0,5,4,116,260,Pasar Minggu,Jakarta Selatan
4500000000.0,4,3,123,150,Cilandak,Jakarta Selatan
4500000000.0,4,3,123,150,Cilandak,Jakarta Selatan
3200000000.0,4,2,128,150,Tebet,Jakarta Selatan
3200000000.0,4,3,126,300,Pasar Minggu,Jakarta Selatan
3500000000.0,4,3,122,210,Pasar Minggu,Jakarta Selatan
5500000000.0,4,4,180,250,Pasar Minggu,Jakarta Selatan
6000000000.0,3,4,175,241,Pasar Minggu,Jakarta Selatan
7000000000.0,9,4,216,540,Jagakarsa,Jakarta Selatan
6000000000.0,5,3,195,250,Duren Sawit,Jakarta Timur
4000000000.0,3,2,300,169,Kali Deres,Jakarta Barat
1600000000.0,2,1,117,119,Kebon Jeruk,Jakarta Barat
1500000000.0,4,2,75,119,Duren Sawit,Jakarta Timur
4500000000.0,5,4,410,400,Pasar Minggu,Jakarta Selatan
6000000000.0,6,5,108,250,Tebet,Jakarta Selatan
9500000000.0,4,3,250,620,Penjaringan,Jakarta Utara
4400000000.0,3,3,144,200,Kembangan,Jakarta Barat
4990000000.0,9,4,215,219,Menteng,Jakarta Pusat
2500000000.0,5,3,128,160,Cipayung,Jakarta Timur
1600000000.0,3,2,108,108,Duren Sawit,Jakarta Timur
10500000000.0,4,4,300,247,Kebayoran Baru,Jakarta Selatan
7100000000.0,6,5,300,300,Pesanggrahan,Jakarta Selatan
1200000000.0,2,1,72,50,Cilandak,Jakarta Selatan
6100000000.0,3,4,264,380,Kali Deres,Jakarta Barat
2300000000.0,3,2,90,172,Cengkareng,Jakarta Barat
4300000000.0,3,1,128,126,Cilandak,Jakarta Selatan
2400000000.0,4,3,161,180,Jagakarsa,Jakarta Selatan
3700000000.0,3,2,104,178,Pasar Minggu,Jakarta Selatan
10000000000.0,4,6,337,399,Pasar Minggu,Jakarta Selatan
5600000000.0,5,5,211,273,Pasar Minggu,Jakarta Selatan
5600000000.0,4,4,232,310,Cengkareng,Jakarta Barat
4500000000.0,5,5,120,300,Jagakarsa,Jakarta Selatan
7530000000.0,4,4,134,364,Cilandak,Jakarta Selatan
1500000000.0,2,2,75,150,Tebet,Jakarta Selatan
240000000.0,2,1,40,30,Gambir,Jakarta Pusat
240000000.0,2,1,40,30,Cempaka Putih,Jakarta Pusat
2980000000.0,3,3,140,140,Cilandak,Jakarta Selatan
240000000.0,2,1,40,30,Menteng,Jakarta Pusat
240000000.0,2,1,40,30,Pasar Minggu,Jakarta Selatan
240000000.0,2,1,40,30,Pancoran,Jakarta Selatan
240000000.0,2,1,40,30,Mampang Prapatan,Jakarta Selatan
4600000000.0,5,2,209,150,Cempaka Putih,Jakarta Pusat
3900000000.0,4,5,159,400,Cengkareng,Jakarta Barat
980000000.0,2,2,56,100,Cengkareng,Jakarta Barat
4610000000.0,3,4,55,165,Mampang Prapatan,Jakarta Selatan
3200000000.0,3,3,144,176,Kali Deres,Jakarta Barat
3200000000.0,3,3,144,176,Kali Deres,Jakarta Barat
2950000000.0,3,3,150,156,Kali Deres,Jakarta Barat
3500000000.0,3,2,300,200,Pesanggrahan,Jakarta Selatan
3400000000.0,2,3,90,130,Kali Deres,Jakarta Barat
7000000000.0,4,3,190,300,Kali Deres,Jakarta Barat
3700000000.0,4,2,250,175,Kali Deres,Jakarta Barat
945000000.0,2,2,43,54,Kali Deres,Jakarta Barat
790000000.0,2,1,60,40,Cengkareng,Jakarta Barat
5500000000.0,4,4,98,270,Tanjung Priok,Jakarta Utara
1700000000.0,3,2,100,180,Ciracas,Jakarta Timur
7900000000.0,5,2,197,188,Kebayoran Lama,Jakarta Selatan
1050000000.0,3,2,72,70,Ciracas,Jakarta Timur
5300000000.0,4,4,356,333,Duren Sawit,Jakarta Timur
5000000000.0,4,4,200,250,Pasar Minggu,Jakarta Selatan
2800000000.0,6,3,90,216,Cengkareng,Jakarta Barat
3500000000.0,4,3,135,156,Kelapa Gading,Jakarta Utara
2750000000.0,5,5,110,230,Jatinegara,Jakarta Timur
1500000000.0,3,2,60,120,Kramat Jati,Jakarta Timur
2020000000.0,3,3,60,103,Kembangan,Jakarta Barat
3900000000.0,6,5,151,300,Cempaka Putih,Jakarta Pusat
8000000000.0,1,1,203,212,Taman Sari,Jakarta Barat
2000000000.0,4,1,102,108,Kelapa Gading,Jakarta Utara
1890000000.0,4,3,90,270,Kelapa Gading,Jakarta Utara
5700000000.0,4,3,120,160,Kelapa Gading,Jakarta Utara
5930000000.0,3,3,100,142,Kelapa Gading,Jakarta Utara
10500000000.0,5,3,360,400,Penjaringan,Jakarta Utara
8500000000.0,4,3,165,144,Kelapa Gading,Jakarta Utara
5610000000.0,1,1,216,1,Tanjung Priok,Jakarta Utara
995000000.0,1,1,90,1,Kelapa Gading,Jakarta Utara
700000000.0,2,3,40,50,Ciracas,Jakarta Timur
2300000000.0,3,3,104,180,Koja,Jakarta Utara
2700000000.0,6,3,177,277,Duren Sawit,Jakarta Timur
800000000.0,2,2,13,48,Cilandak,Jakarta Selatan
1850000000.0,3,1,160,60,Kelapa Gading,Jakarta Utara
5000000000.0,4,4,160,200,Kelapa Gading,Jakarta Utara
1300000000.0,2,2,14,43,Pancoran,Jakarta Selatan
3750000000.0,10,10,102,216,Kelapa Gading,Jakarta Utara
670000000.0,2,1,57,57,Pesanggrahan,Jakarta Selatan
8400000000.0,6,4,374,900,Kembangan,Jakarta Barat
2800000000.0,4,3,129,130,Kelapa Gading,Jakarta Utara
800000000.0,2,2,13,48,Cilandak,Jakarta Selatan
5700000000.0,4,3,120,160,Kelapa Gading,Jakarta Utara
2600000000.0,3,1,96,102,Kelapa Gading,Jakarta Utara
5930000000.0,3,3,100,142,Kelapa Gading,Jakarta Utara
3800000000.0,5,4,160,185,Cilandak,Jakarta Selatan
8500000000.0,4,3,165,144,Kelapa Gading,Jakarta Utara
6750000000.0,3,2,232,199,Pulo Gadung,Jakarta Timur
3900000000.0,4,3,162,250,Pulo Gadung,Jakarta Timur
5950000000.0,5,5,256,350,Kelapa Gading,Jakarta Utara
9500000000.0,6,4,217,400,Kelapa Gading,Jakarta Utara
9500000000.0,5,4,187,340,Kelapa Gading,Jakarta Utara
6500000000.0,5,4,220,225,Kelapa Gading,Jakarta Utara
5500000000.0,3,3,112,157,Kelapa Gading,Jakarta Utara
5000000000.0,4,4,300,325,Cakung,Jakarta Timur
6500000000.0,4,3,120,130,Cengkareng,Jakarta Barat
6500000000.0,4,3,190,1,Kelapa Gading,Jakarta Utara
3900000000.0,4,3,162,250,Pulo Gadung,Jakarta Timur
4300000000.0,3,3,90,132,Kelapa Gading,Jakarta Utara
5000000000.0,3,3,90,132,Kelapa Gading,Jakarta Utara
10000000000.0,3,3,180,200,Kelapa Gading,Jakarta Utara
2400000000.0,4,3,168,195,Cengkareng,Jakarta Barat
2400000000.0,4,3,168,195,Cengkareng,Jakarta Barat
3100000000.0,2,1,57,81,Kelapa Gading,Jakarta Utara
4700000000.0,4,3,119,165,Kelapa Gading,Jakarta Utara
4700000000.0,4,3,119,165,Kelapa Gading,Jakarta Utara
5200000000.0,3,3,100,142,Kelapa Gading,Jakarta Utara
5900000000.0,3,3,100,142,Kelapa Gading,Jakarta Utara
5400000000.0,3,3,112,157,Kelapa Gading,Jakarta Utara
6500000000.0,4,3,144,244,Kelapa Gading,Jakarta Utara
1670000000.0,3,2,110,90,Tebet,Jakarta Selatan
9900000000.0,10,10,374,800,Kelapa Gading,Jakarta Utara
4500000000.0,3,2,160,1,Pulo Gadung,Jakarta Timur
10000000000.0,6,4,443,1,Kelapa Gading,Jakarta Utara
6500000000.0,4,3,190,1,Kelapa Gading,Jakarta Utara
2500000000.0,3,2,153,1,Kelapa Gading,Jakarta Utara
3950000000.0,4,3,119,156,Kelapa Gading,Jakarta Utara
11000000000.0,4,2,400,225,Kelapa Gading,Jakarta Utara
7000000000.0,6,5,175,512,Tanjung Priok,Jakarta Utara
1650000000.0,2,1,97,63,Cengkareng,Jakarta Barat
8000000000.0,3,3,302,212,Kelapa Gading,Jakarta Utara
1650000000.0,2,1,97,63,Cengkareng,Jakarta Barat
7500000000.0,2,1,289,140,Kelapa Gading,Jakarta Utara
5500000000.0,6,3,196,250,Kebayoran Baru,Jakarta Selatan
2800000000.0,3,2,119,90,Pulo Gadung,Jakarta Timur
9500000000.0,6,4,217,400,Kelapa Gading,Jakarta Utara
6000000000.0,4,3,187,264,Kelapa Gading,Jakarta Utara
9500000000.0,5,4,187,340,Kelapa Gading,Jakarta Utara
3900000000.0,4,3,303,137,Cakung,Jakarta Timur
7000000000.0,4,3,181,320,Kelapa Gading,Jakarta Utara
4500000000.0,4,5,99,330,Kelapa Gading,Jakarta Utara
9500000000.0,7,9,378,600,Cempaka Putih,Jakarta Pusat
6500000000.0,5,4,220,225,Kelapa Gading,Jakarta Utara
9500000000.0,7,9,378,600,Cempaka Putih,Jakarta Pusat
4600000000.0,4,3,200,130,Kelapa Gading,Jakarta Utara
2000000000.0,3,2,90,150,Kelapa Gading,Jakarta Utara
2300000000.0,3,2,90,145,Cakung,Jakarta Timur
6200000000.0,5,4,220,300,Kelapa Gading,Jakarta Utara
5300000000.0,2,1,178,200,Kelapa Gading,Jakarta Utara
5500000000.0,2,2,120,180,Kelapa Gading,Jakarta Utara
8000000000.0,3,2,297,234,Kelapa Gading,Jakarta Utara
3000000000.0,2,1,107,107,Kelapa Gading,Jakarta Utara
2750000000.0,3,3,135,210,Cengkareng,Jakarta Barat
4099999999.9999995,5,4,112,156,Cakung,Jakarta Timur
2250000000.0,2,1,108,108,Kelapa Gading,Jakarta Utara
2150000000.0,3,3,120,120,Cakung,Jakarta Timur
5500000000.0,4,3,200,200,Tanjung Priok,Jakarta Utara
4000000000.0,3,3,212,312,Cakung,Jakarta Timur
2650000000.0,3,3,147,152,Cakung,Jakarta Timur
5200000000.0,3,3,100,142,Kelapa Gading,Jakarta Utara
5900000000.0,3,3,100,142,Kelapa Gading,Jakarta Utara
1970000000.0,3,2,90,75,Cakung,Jakarta Timur
4600000000.0,3,2,144,236,Kelapa Gading,Jakarta Utara
6200000000.0,3,3,242,350,Kelapa Gading,Jakarta Utara
2450000000.0,5,2,171,280,Cakung,Jakarta Timur
1000000000.0,2,1,124,60,Cilincing,Jakarta Utara
2300000000.0,3,3,204,1,Cilincing,Jakarta Utara
3400000000.0,4,2,120,144,Kelapa Gading,Jakarta Utara
4750000000.0,4,3,153,189,Kelapa Gading,Jakarta Utara
5700000000.0,4,4,200,150,Kelapa Gading,Jakarta Utara
3200000000.0,5,4,314,348,Cakung,Jakarta Timur
380000000.0,2,1,34,68,Cengkareng,Jakarta Barat
1390000000.0,3,2,71,85,Cipayung,Jakarta Timur
9000000000.0,4,2,324,200,Kelapa Gading,Jakarta Utara
4300000000.0,3,3,90,132,Kelapa Gading,Jakarta Utara
2700000000.0,4,4,150,172,Cakung,Jakarta Timur
1750000000.0,3,2,90,100,Kelapa Gading,Jakarta Utara
10000000000.0,4,3,300,500,Kelapa Gading,Jakarta Utara
2200000000.0,3,3,60,104,Pulo Gadung,Jakarta Timur
1700000000.0,2,1,90,75,Pulo Gadung,Jakarta Timur
3250000000.0,10,4,145,210,Pulo Gadung,Jakarta Timur
5500000000.0,3,3,112,157,Kelapa Gading,Jakarta Utara
2600000000.0,2,2,90,108,Pulo Gadung,Jakarta Timur
5000000000.0,4,4,300,325,Cakung,Jakarta Timur
6000000000.0,2,2,168,250,Jatinegara,Jakarta Timur
4590000000.0,5,2,209,150,Cempaka Putih,Jakarta Pusat
4590000000.0,5,2,209,150,Cempaka Putih,Jakarta Pusat
2500000000.0,3,2,70,140,Kelapa Gading,Jakarta Utara
1650000000.0,3,2,60,90,Kelapa Gading,Jakarta Utara
1900000000.0,1,1,102,1,Kelapa Gading,Jakarta Utara
9000000000.0,4,3,315,273,Kelapa Gading,Jakarta Utara
3500000000.0,3,2,99,126,Kelapa Gading,Jakarta Utara
2900000000.0,3,3,98,91,Cakung,Jakarta Timur
2500000000.0,2,1,102,90,Kelapa Gading,Jakarta Utara
2450000000.0,5,4,73,195,Grogol Petamburan,Jakarta Barat
3000000000.0,4,3,96,130,Cempaka Putih,Jakarta Pusat
11500000000.0,4,4,332,269,Kelapa Gading,Jakarta Utara
1800000000.0,3,2,128,90,Duren Sawit,Jakarta Timur
3000000000.0,4,3,96,130,Cempaka Putih,Jakarta Pusat
2600000000.0,4,2,135,100,Tebet,Jakarta Selatan
2500000000.0,4,3,135,100,Tebet,Jakarta Selatan
2600000000.0,3,2,102,92,Cakung,Jakarta Timur
2500000000.0,4,3,135,100,Tebet,Jakarta Selatan
10000000000.0,4,3,212,280,Kelapa Gading,Jakarta Utara
5300000000.0,6,4,150,250,Cempaka Putih,Jakarta Pusat
5000000000.0,3,3,90,132,Kelapa Gading,Jakarta Utara
5300000000.0,6,4,150,250,Cempaka Putih,Jakarta Pusat
10000000000.0,3,3,180,200,Kelapa Gading,Jakarta Utara
3750000000.0,5,7,142,289,Pulo Gadung,Jakarta Timur
3200000000.0,4,3,128,256,Kelapa Gading,Jakarta Utara
3100000000.0,3,3,102,216,Kelapa Gading,Jakarta Utara
2200000000.0,4,2,116,100,Kelapa Gading,Jakarta Utara
5000000000.0,5,4,350,425,Cakung,Jakarta Timur
4200000000.0,3,3,108,130,Kelapa Gading,Jakarta Utara
2550000000.0,3,2,131,175,Cakung,Jakarta Timur
3000000000.0,3,2,235,69,Cakung,Jakarta Timur
2500000000.0,2,2,75,90,Kelapa Gading,Jakarta Utara
3200000000.0,5,4,165,135,Kelapa Gading,Jakarta Utara
3100000000.0,2,1,57,81,Kelapa Gading,Jakarta Utara
9500000000.0,5,4,276,500,Kelapa Gading,Jakarta Utara
3000000000.0,3,2,174,144,Pulo Gadung,Jakarta Timur
8000000000.0,1,1,203,212,Taman Sari,Jakarta Barat
5100000000.0,4,3,120,200,Kelapa Gading,Jakarta Utara
2000000000.0,4,1,102,108,Kelapa Gading,Jakarta Utara
1800000000.0,2,2,90,135,Cakung,Jakarta Timur
3500000000.0,2,1,57,81,Kelapa Gading,Jakarta Utara
11000000000.0,7,2,404,500,Pulo Gadung,Jakarta Timur
5400000000.0,3,3,112,157,Kelapa Gading,Jakarta Utara
3500000000.0,7,2,120,200,Pulo Gadung,Jakarta Timur
5600000000.0,5,3,128,270,Kelapa Gading,Jakarta Utara
6400000000.0,3,4,145,450,Pulo Gadung,Jakarta Timur
4200000000.0,4,2,180,150,Pulo Gadung,Jakarta Timur
8000000000.0,4,4,469,405,Pulo Gadung,Jakarta Timur
6200000000.0,4,3,190,230,Kelapa Gading,Jakarta Utara
7800000000.0,4,3,187,500,Kelapa Gading,Jakarta Utara
2500000000.0,6,3,132,250,Pulo Gadung,Jakarta Timur
3700000000.0,4,4,150,299,Duren Sawit,Jakarta Timur
3900000000.0,4,3,120,225,Kelapa Gading,Jakarta Utara
750000000.0,2,2,83,70,Duren Sawit,Jakarta Timur
4000000000.0,4,2,206,140,Pulo Gadung,Jakarta Timur
5500000000.0,4,3,180,220,Kelapa Gading,Jakarta Utara
1700000000.0,3,3,91,168,Cipayung,Jakarta Timur
1050000000.0,3,3,72,104,Pasar Rebo,Jakarta Timur
3300000000.0,4,2,180,240,Cakung,Jakarta Timur
7500000000.0,4,3,220,320,Kelapa Gading,Jakarta Utara
6000000000.0,6,4,300,380,Pulo Gadung,Jakarta Timur
6750000000.0,4,4,187,170,Kelapa Gading,Jakarta Utara
3000000000.0,5,1,377,209,Cempaka Putih,Jakarta Pusat
2200000000.0,4,6,157,300,Pulo Gadung,Jakarta Timur
2300000000.0,3,3,104,180,Koja,Jakarta Utara
6500000000.0,10,10,120,450,Kelapa Gading,Jakarta Utara
2700000000.0,6,3,177,277,Duren Sawit,Jakarta Timur
5500000000.0,4,3,200,230,Kelapa Gading,Jakarta Utara
6000000000.0,4,3,185,202,Cilandak,Jakarta Selatan
6500000000.0,4,3,208,230,Kelapa Gading,Jakarta Utara
11000000000.0,6,4,366,837,Penjaringan,Jakarta Utara
1300000000.0,3,2,100,96,Pesanggrahan,Jakarta Selatan
3500000000.0,4,3,120,180,Cakung,Jakarta Timur
4900000000.0,3,3,150,90,Tanjung Priok,Jakarta Utara
6500000000.0,4,3,144,244,Kelapa Gading,Jakarta Utara
3100000000.0,4,3,155,125,Cempaka Putih,Jakarta Pusat
3100000000.0,4,3,155,125,Cempaka Putih,Jakarta Pusat
3900000000.0,3,2,180,120,Kelapa Gading,Jakarta Utara
3000000000.0,4,4,178,214,Cakung,Jakarta Timur
6800000000.0,3,2,120,168,Kelapa Gading,Jakarta Utara
1050000000.0,4,3,64,140,Cengkareng,Jakarta Barat
6800000000.0,3,2,120,168,Kelapa Gading,Jakarta Utara
5000000000.0,4,2,210,160,Setia Budi,Jakarta Selatan
11000000000.0,7,5,500,340,Cempaka Putih,Jakarta Pusat
5610000000.0,1,1,216,1,Tanjung Priok,Jakarta Utara
11000000000.0,7,5,500,340,Cempaka Putih,Jakarta Pusat
995000000.0,1,1,90,1,Kelapa Gading,Jakarta Utara
2400000000.0,4,3,168,112,Cakung,Jakarta Timur
2480000000.0,4,3,92,92,Cakung,Jakarta Timur
2480000000.0,4,3,92,92,Cakung,Jakarta Timur
2700000000.0,10,7,169,320,Pulo Gadung,Jakarta Timur
2800000000.0,4,3,129,130,Kelapa Gading,Jakarta Utara
2850000000.0,3,2,121,87,Kelapa Gading,Jakarta Utara
2600000000.0,3,1,96,102,Kelapa Gading,Jakarta Utara
4000000000.0,3,2,209,200,Cempaka Putih,Jakarta Pusat
4000000000.0,3,2,209,200,Cempaka Putih,Jakarta Pusat
3500000000.0,10,10,170,300,Pulo Gadung,Jakarta Timur
5950000000.0,5,5,256,350,Kelapa Gading,Jakarta Utara
2100000000.0,3,2,105,86,Cakung,Jakarta Timur
4350000000.0,10,4,230,230,Pulo Gadung,Jakarta Timur
525000000.0,2,1,69,45,Pasar Rebo,Jakarta Timur
3900000000.0,5,3,160,280,Pulo Gadung,Jakarta Timur
2950000000.0,1,1,266,150,Tanjung Priok,Jakarta Utara
2800000000.0,3,2,98,115,Cakung,Jakarta Timur
4000000000.0,3,2,120,180,Kelapa Gading,Jakarta Utara
2850000000.0,2,2,121,72,Kelapa Gading,Jakarta Utara
5900000000.0,6,5,144,200,Cempaka Putih,Jakarta Pusat
11000000000.0,6,4,420,500,Pulo Gadung,Jakarta Timur
5900000000.0,6,5,144,200,Cempaka Putih,Jakarta Pusat
1850000000.0,3,1,160,60,Kelapa Gading,Jakarta Utara
6500000000.0,6,5,288,350,Cempaka Putih,Jakarta Pusat
5000000000.0,4,4,160,200,Kelapa Gading,Jakarta Utara
6500000000.0,6,5,288,350,Cempaka Putih,Jakarta Pusat
5900000000.0,4,4,148,303,Cempaka Putih,Jakarta Pusat
